epoch,accuracy,loss,val_accuracy,val_loss
0,0.5381831526756287,1.2540792226791382,0.796966552734375,0.5228376388549805
1,0.6745869517326355,0.9251540303230286,0.7933471202850342,0.5872313380241394
2,0.712134599685669,0.8217759132385254,0.8609961867332458,0.39704158902168274
3,0.7366709113121033,0.7526443004608154,0.8397104740142822,0.46761462092399597
4,0.7594838738441467,0.6897838115692139,0.8796104788780212,0.3637951612472534
5,0.7722151875495911,0.6538424491882324,0.896328866481781,0.31153246760368347
6,0.783309280872345,0.6142597198486328,0.9114960432052612,0.28724345564842224
7,0.7955235838890076,0.5816748142242432,0.8642709255218506,0.399223268032074
8,0.8055190443992615,0.5516606569290161,0.8728024959564209,0.38909122347831726
9,0.816656231880188,0.5187077522277832,0.9028783440589905,0.294565349817276
10,0.8267594575881958,0.49291202425956726,0.9214925765991211,0.259769469499588
11,0.8346868753433228,0.46800994873046875,0.9114960432052612,0.27375754714012146
12,0.8433467745780945,0.4421789348125458,0.9255428910255432,0.24170732498168945
13,0.8488399386405945,0.4264894723892212,0.9289038181304932,0.23467569053173065
14,0.8559703826904297,0.4072552025318146,0.9291623830795288,0.2318795621395111
