epoch,accuracy,loss,val_accuracy,val_loss
0,0.5648090243339539,1.1839158535003662,0.8543605804443359,0.42337194085121155
1,0.6770212054252625,0.9142948389053345,0.7805929183959961,0.601215124130249
2,0.7068567872047424,0.8265884518623352,0.8577214479446411,0.4268767237663269
3,0.7286573052406311,0.7690965533256531,0.7948983311653137,0.5793547034263611
4,0.7457185387611389,0.7162929773330688,0.867114782333374,0.38949450850486755
5,0.7607548236846924,0.6745261549949646,0.8798689842224121,0.3652704656124115
6,0.7696516513824463,0.6466426849365234,0.9053774476051331,0.29206693172454834
7,0.7821029424667358,0.6143893003463745,0.8797828555107117,0.3587492108345032
8,0.7938002347946167,0.5838339328765869,0.8777145743370056,0.35979893803596497
9,0.8041619062423706,0.5526304244995117,0.9180455207824707,0.2624107003211975
10,0.8085780143737793,0.5369196534156799,0.919079601764679,0.26038575172424316
11,0.8151698708534241,0.5202791690826416,0.9040848016738892,0.28846362233161926
12,0.8251438140869141,0.49417269229888916,0.9178731441497803,0.2615436017513275
13,0.8297322392463684,0.47826188802719116,0.9251981973648071,0.24338501691818237
14,0.8337821364402771,0.46408510208129883,0.9172698855400085,0.2604900002479553
