epoch,accuracy,loss,val_accuracy,val_loss
0,0.4911347031593323,1.360313892364502,0.7123275995254517,0.663756251335144
1,0.6522179245948792,0.9747703075408936,0.7850862145423889,0.5760996341705322
2,0.69086754322052,0.8696006536483765,0.8139654994010925,0.5102316737174988
3,0.7135747671127319,0.8103424310684204,0.8593965768814087,0.4426548182964325
4,0.7308313846588135,0.7622097730636597,0.8979310393333435,0.3177674114704132
5,0.7427666783332825,0.7273162603378296,0.889224112033844,0.35523462295532227
6,0.7535816431045532,0.6946940422058105,0.8861206769943237,0.34464606642723083
7,0.7656246423721313,0.6616875529289246,0.8190517425537109,0.5020875930786133
8,0.7731003761291504,0.6340768933296204,0.8597413897514343,0.4125589430332184
9,0.7830320596694946,0.6118727922439575,0.9120689630508423,0.2817873954772949
10,0.7898184061050415,0.5950739979743958,0.8862931132316589,0.32893288135528564
11,0.7985005378723145,0.567905843257904,0.9120689630508423,0.276960551738739
12,0.8042958378791809,0.5495521426200867,0.9185344576835632,0.26013433933258057
13,0.8096387386322021,0.5357176065444946,0.911379337310791,0.2763921618461609
14,0.8135166168212891,0.5217238068580627,0.9159482717514038,0.2590985596179962
